// Start Time: Unknown
// Update Rate: Various
// Filter Profile: vru_general (43.12)
// Option Flags: AHS Enabled ICC Enabled 
// Firmware Version: 1.5.1
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
18956	0.171451	0.269359	9.618558	0.005283	-0.001783	-0.004528	-0.835644	-1.677531	-3.350860	1.265228	-0.991518	-3.757958
18960	0.200294	0.178954	9.912944	-0.005787	0.001672	-0.006351	-0.825467	-1.683082	-3.347550	1.262304	-0.989367	-3.762212
18964	0.144014	0.202390	9.918187	0.004486	-0.010048	-0.006301	-0.830601	-1.677618	-3.345751	1.264158	-0.995150	-3.765395
18968	0.180296	0.234983	9.705562	0.007179	0.004140	-0.008870	-0.832947	-1.677655	-3.352904	1.266702	-0.992959	-3.769493
18972	0.214858	0.225714	9.873701	0.015766	0.004916	-0.004587	-0.825120	-1.675237	-3.349833	1.273799	-0.988813	-3.772049
18976	0.166369	0.214791	9.705088	0.004630	0.000515	-0.015729	-0.841039	-1.677284	-3.346773	1.275403	-0.990901	-3.778689
18980	0.149174	0.202627	9.849322	0.010688	-0.002223	-0.006401	-0.833209	-1.680203	-3.348311	1.280781	-0.992770	-3.781446
18984	0.179058	0.229586	9.654707	0.012783	-0.005142	0.004773	-0.830424	-1.680367	-3.352654	1.286687	-0.995496	-3.778330
18988	0.178167	0.176297	9.779576	0.004571	-0.002021	-0.002689	-0.825120	-1.675237	-3.349833	1.287089	-0.995290	-3.779872
18992	0.148640	0.246454	9.822585	-0.008247	-0.005973	0.006328	-0.825555	-1.683042	-3.345251	1.282484	-0.997777	-3.776849
18996	0.166425	0.185743	9.921880	0.005175	0.007281	0.004072	-0.835555	-1.680241	-3.355464	1.283747	-0.994386	-3.773204
19000	0.188299	0.307307	9.592380	-0.004498	-0.002155	0.015234	-0.822686	-1.675239	-3.344979	1.279516	-0.994136	-3.764939
19004	0.195884	0.177018	9.836468	-0.004452	-0.001790	-0.002465	-0.832857	-1.683034	-3.359812	1.275631	-0.994946	-3.765890
19008	0.131972	0.257969	9.907690	0.006823	0.004907	0.002898	-0.825381	-1.680454	-3.347545	1.278934	-0.991010	-3.764557
19012	0.150665	0.206460	9.614965	0.002160	0.001173	-0.003513	-0.827818	-1.672444	-3.345485	1.278026	-0.989834	-3.765917
19016	0.188908	0.239945	9.744883	0.014510	0.004775	0.007286	-0.830425	-1.677698	-3.350349	1.284646	-0.987055	-3.761029
19020	0.166825	0.240279	9.815851	0.003848	-0.000204	0.002704	-0.835819	-1.680120	-3.348567	1.285956	-0.988373	-3.758162
19024	0.152475	0.189773	9.925476	-0.012687	-0.007289	-0.007534	-0.833036	-1.674946	-3.348300	1.276862	-0.992965	-3.761368
19028	0.179744	0.234293	9.658354	0.010283	0.014511	-0.008904	-0.825118	-1.677906	-3.352138	1.281104	-0.983181	-3.766469
19032	0.189986	0.171298	9.836474	-0.000469	0.003572	0.000536	-0.822422	-1.675361	-3.351877	1.278584	-0.979239	-3.766520
19036	0.135785	0.193028	9.782325	-0.004207	-0.000131	0.000617	-0.822511	-1.672651	-3.347273	1.273912	-0.977728	-3.766328
19040	0.155602	0.194093	9.818801	-0.001356	-0.007452	-0.002555	-0.830597	-1.685625	-3.352665	1.273287	-0.981874	-3.767791
19044	0.210133	0.290596	9.641011	0.007477	0.000910	-0.008270	-0.830250	-1.677779	-3.354948	1.275642	-0.980980	-3.771836
19048	0.191593	0.132958	9.793522	0.000059	-0.000658	0.004067	-0.825382	-1.677785	-3.345240	1.274778	-0.980570	-3.769595
19052	0.146237	0.237940	9.927262	-0.001611	-0.006128	-0.000566	-0.833296	-1.682832	-3.348316	1.273827	-0.984817	-3.769231
19056	0.197746	0.189526	9.817492	-0.007688	0.002110	0.000077	-0.825295	-1.675156	-3.345235	1.268065	-0.982728	-3.769103
19060	0.180624	0.223867	9.735706	0.005401	-0.008990	-0.003393	-0.833475	-1.674744	-3.336804	1.270669	-0.989221	-3.769704
19064	0.198542	0.191164	9.861343	-0.004091	0.004741	-0.005037	-0.830601	-1.677618	-3.345751	1.267522	-0.986715	-3.771808
19068	0.139764	0.217739	9.885309	0.005776	0.007013	-0.004173	-0.838342	-1.677408	-3.348816	1.269583	-0.984554	-3.772057
19072	0.175787	0.222278	9.529857	0.003774	0.005873	0.001107	-0.830336	-1.680408	-3.354953	1.270419	-0.980972	-3.770880
19076	0.186308	0.177449	9.827408	-0.018525	0.001051	-0.003803	-0.840776	-1.677405	-3.353670	1.258188	-0.982557	-3.770668
19080	0.138321	0.182140	9.870275	-0.019573	-0.003866	-0.000355	-0.833120	-1.682913	-3.352915	1.246875	-0.985267	-3.770288
19084	0.144338	0.171939	9.812222	0.001827	-0.000843	0.000428	-0.840687	-1.680114	-3.358274	1.246552	-0.987644	-3.768062
19088	0.191492	0.272340	9.717596	0.015902	0.000118	0.013313	-0.833210	-1.677534	-3.346006	1.254875	-0.988531	-3.759414
19092	0.175470	0.153838	9.827868	0.007312	0.005140	-0.003728	-0.835994	-1.680039	-3.343968	1.259189	-0.987103	-3.760116
19096	0.123459	0.242007	9.839622	0.002291	-0.011414	0.001656	-0.828078	-1.680330	-3.345501	1.260436	-0.993226	-3.759347
19100	0.177138	0.180150	9.726016	-0.013326	-0.004401	0.003138	-0.838340	-1.680076	-3.351121	1.252151	-0.997325	-3.756073
19104	0.183431	0.209179	9.621693	0.013239	-0.003181	0.001748	-0.823294	-1.688302	-3.340408	1.262084	-0.997833	-3.756455
19108	0.157324	0.192154	9.787074	0.000404	-0.000314	0.004984	-0.838777	-1.685212	-3.344234	1.263455	-1.000023	-3.752303
19112	0.163203	0.216639	9.945013	0.001829	-0.006455	-0.007754	-0.835909	-1.674741	-3.341658	1.263619	-1.005015	-3.755318
19116	0.170926	0.265054	9.573403	0.000640	0.006913	0.000055	-0.838516	-1.679996	-3.346523	1.263682	-1.002791	-3.753629
19120	0.187315	0.184149	9.880268	0.000748	-0.008354	-0.005156	-0.830424	-1.680367	-3.352654	1.263226	-1.006999	-3.756539
19124	0.153177	0.243517	9.891699	0.013334	0.004210	-0.006970	-0.819901	-1.675404	-3.349322	1.269126	-1.001854	-3.761603
19128	0.154983	0.169165	9.745228	-0.012161	0.003421	0.000151	-0.833123	-1.677575	-3.348306	1.261110	-1.000374	-3.760589
19132	0.205874	0.282969	9.617404	0.019327	0.000689	0.004566	-0.833034	-1.680284	-3.352909	1.271027	-1.000199	-3.757292
19136	0.192364	0.161847	9.854296	0.003478	0.002443	0.001690	-0.822594	-1.683287	-3.354192	1.272421	-0.996558	-3.757472
19140	0.145674	0.259272	9.890471	-0.001539	-0.007280	-0.002434	-0.832862	-1.672358	-3.350594	1.268918	-1.000949	-3.757794
19144	0.197444	0.200758	9.780307	0.004074	-0.012179	0.005178	-0.828429	-1.680168	-3.336304	1.271977	-1.007907	-3.754995
19148	0.178646	0.248732	9.798457	0.018312	0.004037	-0.008311	-0.841040	-1.674615	-3.344468	1.280926	-1.007848	-3.757305
19152	0.161414	0.184015	9.816071	0.015788	0.000156	0.005713	-0.832685	-1.675108	-3.357497	1.286798	-1.007504	-3.753166
19156	0.145086	0.247418	9.891783	-0.003641	0.001649	0.003031	-0.833559	-1.682710	-3.341419	1.285238	-1.007365	-3.750736
19160	0.192683	0.254053	9.588024	0.005975	-0.003084	-0.001593	-0.819810	-1.680782	-3.356230	1.287025	-1.005914	-3.753274
19164	0.191670	0.159732	9.771568	0.000767	0.002560	-0.001208	-0.828079	-1.677661	-3.343196	1.286626	-1.003907	-3.753816
19168	0.156865	0.219305	9.872098	-0.001860	-0.012329	0.015049	-0.827729	-1.675153	-3.350088	1.283252	-1.010029	-3.745305
