// Start Time: Unknown
// Update Rate: Various
// Filter Profile: vru_general (43.12)
// Option Flags: AHS Enabled ICC Enabled 
// Firmware Version: 1.5.1
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
06932	0.087255	0.246251	9.764672	0.003015	-0.002381	0.017148	-0.811293	-1.701579	-3.323064	1.325830	-0.540893	-3.489447
06936	0.105130	0.225241	9.781456	-0.005140	-0.009109	-0.004536	-0.813467	-1.696360	-3.330206	1.321304	-0.544815	-3.491842
06940	0.112909	0.229641	9.761165	0.006105	-0.000068	-0.002338	-0.821295	-1.696109	-3.330972	1.323025	-0.545394	-3.491882
06944	0.087423	0.240799	9.789034	0.005243	-0.003612	0.009840	-0.818944	-1.706748	-3.333038	1.326420	-0.547415	-3.486167
06948	0.112281	0.226089	9.787442	0.009577	-0.004029	-0.002015	-0.819033	-1.704038	-3.328434	1.332171	-0.549769	-3.486999
06952	0.094735	0.231322	9.797383	-0.005128	0.003141	-0.006398	-0.818860	-1.698781	-3.328424	1.328333	-0.547968	-3.489837
06956	0.121970	0.223352	9.799030	0.002079	-0.008899	-0.016031	-0.815813	-1.696397	-3.337359	1.327021	-0.551694	-3.498554
06960	0.091699	0.239649	9.805686	0.001042	0.003834	-0.000901	-0.808245	-1.701865	-3.334305	1.326705	-0.546792	-3.499789
06964	0.090585	0.228166	9.790075	-0.003706	-0.004583	-0.001747	-0.823991	-1.698654	-3.331233	1.323340	-0.550565	-3.499394
06968	0.096968	0.227620	9.755893	0.010807	0.001923	-0.002405	-0.818767	-1.709497	-3.339941	1.329704	-0.548883	-3.500810
06972	0.098733	0.230287	9.779217	0.001680	0.008898	0.001199	-0.816072	-1.704283	-3.337375	1.329900	-0.542843	-3.499936
06976	0.103046	0.230005	9.773086	0.007046	-0.003459	0.001515	-0.823993	-1.695985	-3.328929	1.332184	-0.546186	-3.497384
06980	0.090818	0.233965	9.784529	-0.001215	0.007705	0.009633	-0.816161	-1.701574	-3.332772	1.330605	-0.541200	-3.491482
06984	0.100596	0.233938	9.779882	-0.004774	-0.006603	-0.005281	-0.820854	-1.701649	-3.347078	1.325440	-0.544465	-3.493808
06988	0.085314	0.225549	9.759866	0.008124	0.010210	-0.000224	-0.813727	-1.701576	-3.327918	1.329862	-0.537687	-3.493784
06992	0.099258	0.227293	9.808217	0.003771	-0.011292	-0.002780	-0.824163	-1.706581	-3.333549	1.332262	-0.545231	-3.494636
06996	0.095062	0.243156	9.803467	0.005433	0.002981	0.004672	-0.823816	-1.698735	-3.335832	1.333429	-0.544463	-3.490478
07000	0.107643	0.218745	9.797804	0.016958	0.000515	-0.016454	-0.816248	-1.704202	-3.332777	1.342788	-0.543274	-3.499727
07004	0.099194	0.239937	9.783182	0.008388	-0.006091	-0.007752	-0.816508	-1.712088	-3.332793	1.348934	-0.546029	-3.504618
07008	0.105957	0.237561	9.794455	-0.006362	0.004752	-0.009448	-0.818859	-1.701450	-3.330728	1.344431	-0.543304	-3.509202
07012	0.113488	0.250383	9.786734	-0.004457	-0.000503	-0.008956	-0.816686	-1.706669	-3.323586	1.343127	-0.543531	-3.514206
07016	0.101117	0.232970	9.783951	-0.009382	-0.012415	-0.008696	-0.823732	-1.690768	-3.331217	1.334433	-0.551724	-3.517216
07020	0.091693	0.241310	9.763347	0.003775	0.002879	0.009685	-0.811030	-1.701700	-3.329962	1.335915	-0.548476	-3.511956
07024	0.095134	0.242082	9.777374	0.002281	0.006217	0.000322	-0.813904	-1.698827	-3.321015	1.336981	-0.544447	-3.511352
07028	0.119190	0.222206	9.783218	-0.001171	-0.025297	0.001236	-0.818856	-1.706788	-3.335337	1.336224	-0.558613	-3.510789
07032	0.100492	0.234008	9.794310	-0.001964	-0.013427	-0.001401	-0.813379	-1.696400	-3.332505	1.332943	-0.564726	-3.511535
07036	0.108636	0.219209	9.778959	-0.005012	0.011638	-0.010474	-0.819210	-1.701288	-3.321531	1.330489	-0.558518	-3.516645
07040	0.099298	0.227091	9.790688	0.003149	0.000164	-0.000350	-0.813902	-1.704165	-3.325624	1.332804	-0.557534	-3.517065
07044	0.101154	0.228506	9.766198	0.014768	0.002092	-0.010422	-0.816514	-1.698743	-3.321270	1.340916	-0.556224	-3.522338
07048	0.115708	0.229585	9.823966	0.008770	-0.004225	-0.005951	-0.813903	-1.701496	-3.323320	1.345874	-0.557844	-3.525712
07052	0.096451	0.237266	9.775853	-0.001790	-0.000859	-0.003629	-0.827126	-1.700997	-3.319999	1.343855	-0.557838	-3.527361
07056	0.108811	0.234558	9.773571	0.003624	-0.014806	-0.008303	-0.815641	-1.688471	-3.335044	1.344965	-0.565759	-3.531875
07060	0.120810	0.235442	9.767572	0.001329	0.006603	-0.002576	-0.816168	-1.688228	-3.321249	1.344726	-0.561494	-3.532821
07064	0.103853	0.242694	9.811357	0.002857	0.004113	0.011701	-0.826952	-1.698409	-3.322292	1.345282	-0.558847	-3.525622
07068	0.100772	0.233955	9.773668	0.004553	0.001044	0.004990	-0.819123	-1.698660	-3.321526	1.346848	-0.557868	-3.522309
07072	0.110007	0.229702	9.780149	0.013005	-0.003434	-0.012117	-0.816687	-1.704000	-3.321281	1.353353	-0.559223	-3.528856
07076	0.117394	0.223474	9.790502	-0.001519	0.005287	0.005759	-0.813902	-1.704165	-3.325624	1.351435	-0.555825	-3.525045
07080	0.104938	0.232824	9.807496	0.005289	-0.002555	-0.018158	-0.811465	-1.709505	-3.325380	1.353552	-0.556595	-3.535041
07084	0.091693	0.232272	9.804810	-0.002068	-0.005423	-0.006301	-0.824252	-1.703871	-3.328945	1.351388	-0.559168	-3.538283
07088	0.096658	0.224615	9.798729	0.006164	0.002486	-0.001226	-0.811467	-1.706836	-3.323075	1.353912	-0.557279	-3.538511
07092	0.097803	0.234358	9.767632	-0.003330	-0.010167	-0.000549	-0.816600	-1.701372	-3.321276	1.350993	-0.562648	-3.538523
07096	0.105299	0.249435	9.796975	-0.005682	0.000183	0.009615	-0.826863	-1.701119	-3.326896	1.346669	-0.562225	-3.532573
07100	0.104666	0.236956	9.778719	0.005986	0.006411	-0.002992	-0.818860	-1.698781	-3.328424	1.349099	-0.558065	-3.533761
07104	0.110447	0.236499	9.789280	-0.002036	0.004084	-0.003276	-0.824690	-1.706338	-3.319754	1.346936	-0.555234	-3.535142
07108	0.095389	0.238024	9.759272	0.010744	0.002668	-0.004005	-0.824256	-1.695864	-3.322031	1.352099	-0.553204	-3.536961
07112	0.110143	0.237106	9.792614	0.005128	-0.008875	0.004120	-0.815991	-1.690979	-3.328152	1.354000	-0.557895	-3.534281
07116	0.090279	0.234262	9.766288	-0.004204	0.000542	-0.001899	-0.816252	-1.696195	-3.325863	1.350587	-0.557111	-3.534922
07120	0.122181	0.223318	9.805580	0.003934	0.005441	-0.000996	-0.813729	-1.698907	-3.325613	1.351831	-0.553534	-3.534980
07124	0.100951	0.235916	9.757559	0.001279	-0.000538	-0.017028	-0.811383	-1.698870	-3.318461	1.351643	-0.553165	-3.544302
07128	0.109665	0.230415	9.810081	0.003684	0.005688	0.007658	-0.821644	-1.701286	-3.326385	1.352696	-0.549563	-3.539399
