// Start Time: Unknown
// Update Rate: Various
// Filter Profile: vru_general (43.12)
// Option Flags: AHS Enabled ICC Enabled 
// Firmware Version: 1.5.1
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
14706	0.263506	0.165412	9.759196	0.001182	-0.002963	-0.003028	-0.275009	-0.788773	-3.527809	0.953802	-1.730178	-3.379682
14710	0.246476	0.162324	9.737736	-0.001460	-0.001987	0.011795	-0.278143	-0.793785	-3.518879	0.953135	-1.732574	-3.371115
14714	0.261323	0.155307	9.799264	0.001317	0.003109	-0.001527	-0.275444	-0.796578	-3.523227	0.954731	-1.731068	-3.372401
14718	0.283222	0.143629	9.795879	0.000046	-0.004980	0.002232	-0.265269	-0.796791	-3.515308	0.956181	-1.731524	-3.364386
14722	0.265419	0.140334	9.768825	0.002592	0.008495	-0.005541	-0.272664	-0.786066	-3.518352	0.956081	-1.726431	-3.365533
14726	0.270183	0.133446	9.791000	-0.000957	-0.002296	-0.016335	-0.275187	-0.783354	-3.518602	0.953410	-1.728157	-3.373939
14730	0.279014	0.159061	9.815230	0.004522	-0.000250	-0.010051	-0.267357	-0.786274	-3.520140	0.954480	-1.726554	-3.378298
14734	0.289438	0.148390	9.792783	0.008301	0.002160	-0.005346	-0.267880	-0.794038	-3.513259	0.960087	-1.723870	-3.374252
14738	0.268720	0.164031	9.762968	0.002066	0.000669	0.000627	-0.270053	-0.788819	-3.520401	0.960113	-1.722631	-3.372791
14742	0.262571	0.158511	9.780007	0.001571	-0.008094	-0.005522	-0.267445	-0.786233	-3.517841	0.959470	-1.725666	-3.373318
14746	0.271185	0.159646	9.825569	0.005271	-0.002742	-0.006219	-0.275533	-0.793869	-3.518624	0.962841	-1.727753	-3.374356
14750	0.271500	0.141298	9.804628	0.009988	0.007486	-0.002542	-0.278054	-0.796495	-3.523483	0.969094	-1.724641	-3.376406
14754	0.255350	0.157390	9.789420	0.005111	0.010998	0.000841	-0.273274	-0.796460	-3.511476	0.973271	-1.718562	-3.367701
14758	0.265528	0.146951	9.767447	0.003221	-0.003723	-0.007914	-0.270140	-0.791448	-3.520406	0.974557	-1.719827	-3.371003
14762	0.283391	0.138132	9.777684	0.006976	-0.001454	0.009382	-0.265002	-0.804919	-3.529119	0.980692	-1.718138	-3.366383
14766	0.247379	0.164276	9.771561	0.005938	-0.011738	-0.004246	-0.269967	-0.786190	-3.520395	0.981933	-1.723960	-3.368863
14770	0.273438	0.147309	9.777972	-0.000616	0.013855	0.004810	-0.270402	-0.793995	-3.515813	0.981674	-1.715466	-3.361251
14774	0.262761	0.162976	9.775909	0.014735	-0.001656	0.000660	-0.275361	-0.785942	-3.516308	0.987921	-1.717283	-3.359195
14778	0.277180	0.160980	9.744287	0.006709	0.003265	-0.008949	-0.278228	-0.799083	-3.521189	0.992841	-1.716730	-3.363185
14782	0.274362	0.147446	9.789530	-0.004629	0.018341	0.003574	-0.275538	-0.783193	-3.509405	0.987655	-1.707546	-3.355550
14786	0.265945	0.172409	9.787118	0.009716	-0.016707	0.003676	-0.272748	-0.794033	-3.522966	0.992657	-1.717024	-3.354092
14790	0.276820	0.149154	9.776714	-0.005752	0.000032	0.005990	-0.280494	-0.783147	-3.516813	0.986252	-1.719376	-3.351015
14794	0.267620	0.157274	9.772692	0.003642	-0.003641	-0.000399	-0.272400	-0.788857	-3.527554	0.986229	-1.721157	-3.356480
14798	0.251872	0.162157	9.803967	0.010884	0.013745	0.003137	-0.277709	-0.783311	-3.521156	0.989125	-1.714816	-3.357390
14802	0.264566	0.167814	9.784081	-0.000483	-0.009028	-0.004621	-0.277795	-0.785940	-3.521162	0.986412	-1.721301	-3.361875
14806	0.262004	0.177606	9.737997	-0.006761	-0.009083	-0.010515	-0.280405	-0.785856	-3.521417	0.980253	-1.728361	-3.369715
14810	0.258720	0.169880	9.755771	-0.006086	0.009808	-0.012282	-0.275447	-0.791240	-3.518618	0.976265	-1.723257	-3.374280
14814	0.266473	0.157808	9.789274	-0.010035	-0.005592	0.006553	-0.272749	-0.791364	-3.520662	0.969722	-1.726311	-3.369445
14818	0.279050	0.144567	9.801641	0.000829	-0.008819	-0.002512	-0.275360	-0.788612	-3.518613	0.968945	-1.731847	-3.369378
14822	0.273729	0.162668	9.777101	-0.000682	0.002653	0.009586	-0.280838	-0.798999	-3.521444	0.969704	-1.732073	-3.360002
14826	0.265478	0.167386	9.785872	0.012014	0.015418	0.004451	-0.272665	-0.783397	-3.516047	0.973885	-1.723369	-3.356484
14830	0.266905	0.170857	9.771384	0.003648	-0.005484	0.000589	-0.277881	-0.791238	-3.523472	0.974937	-1.727599	-3.357131
14834	0.277952	0.148642	9.789097	-0.003079	-0.008562	0.000158	-0.277882	-0.788569	-3.521167	0.971627	-1.733595	-3.357510
14838	0.270260	0.155961	9.769924	0.012430	-0.012241	-0.009208	-0.280752	-0.793702	-3.519134	0.978776	-1.742145	-3.359579
14842	0.258241	0.155842	9.773180	-0.005590	-0.000416	0.008249	-0.270228	-0.791407	-3.518107	0.974867	-1.741315	-3.352109
14846	0.262601	0.146643	9.795498	0.006705	-0.008799	-0.006960	-0.280404	-0.788525	-3.523721	0.976979	-1.747805	-3.358748
14850	0.269137	0.144138	9.789854	0.002502	0.008960	0.003667	-0.275883	-0.796376	-3.511731	0.979485	-1.743005	-3.346556
14854	0.268814	0.139394	9.788701	-0.001146	-0.006290	0.006289	-0.275533	-0.793869	-3.518624	0.978708	-1.746763	-3.339226
14858	0.287694	0.145265	9.782706	0.001374	0.008561	0.000971	-0.269879	-0.786231	-3.522694	0.977123	-1.740726	-3.342261
14862	0.280900	0.137535	9.800261	0.003639	0.005040	0.005151	-0.280666	-0.791073	-3.519129	0.978269	-1.739560	-3.337079
14866	0.279336	0.166174	9.788565	-0.003582	0.002571	-0.006333	-0.275097	-0.788733	-3.525510	0.974482	-1.738205	-3.344627
14870	0.280432	0.151712	9.770681	-0.006313	-0.002428	-0.009998	-0.269968	-0.783521	-3.518091	0.968402	-1.738582	-3.351777
14874	0.272591	0.163143	9.764839	-0.003295	0.003716	0.001559	-0.280578	-0.791114	-3.521428	0.965711	-1.738087	-3.349501
14878	0.264135	0.162405	9.811334	0.008241	0.010065	0.001301	-0.278055	-0.793826	-3.521178	0.970334	-1.733268	-3.345976
14882	0.264171	0.154484	9.797081	0.010661	-0.003863	0.004614	-0.270225	-0.796745	-3.522716	0.976920	-1.734215	-3.340974
14886	0.272107	0.141386	9.782679	-0.001551	0.000066	-0.009346	-0.277970	-0.788528	-3.518868	0.974727	-1.735203	-3.345347
14890	0.262087	0.162651	9.761973	0.003056	-0.003564	-0.011017	-0.280490	-0.791154	-3.523727	0.975559	-1.738730	-3.352616
14894	0.266720	0.152898	9.763924	0.009085	0.000479	0.013589	-0.270491	-0.791286	-3.511210	0.980308	-1.737657	-3.337346
14898	0.284338	0.141929	9.770954	0.003687	-0.000505	0.002495	-0.277704	-0.793987	-3.530375	0.981505	-1.738594	-3.340384
14902	0.270391	0.162274	9.763913	-0.003954	0.000814	-0.001030	-0.272576	-0.786107	-3.520651	0.976983	-1.737793	-3.343300
14906	0.265616	0.160649	9.747650	-0.007183	-0.000831	-0.008564	-0.277619	-0.788690	-3.528064	0.971018	-1.738995	-3.353700
14910	0.268377	0.160810	9.772404	-0.007133	-0.017840	-0.006071	-0.278056	-0.791157	-3.518873	0.966448	-1.749937	-3.354455
14914	0.264921	0.164046	9.820722	-0.002754	0.000923	-0.018036	-0.269441	-0.783764	-3.531886	0.961749	-1.747872	-3.376291
14918	0.269728	0.149435	9.785368	0.002428	-0.013415	0.010560	-0.277792	-0.793947	-3.528075	0.962559	-1.756046	-3.372605
14922	0.270932	0.157988	9.788617	-0.011356	-0.009712	0.008261	-0.277881	-0.791238	-3.523472	0.955216	-1.762124	-3.368074
14926	0.248633	0.170804	9.796175	0.006419	-0.000474	-0.010766	-0.280404	-0.788525	-3.523721	0.957565	-1.763486	-3.375885
14930	0.271807	0.151446	9.767204	0.001341	-0.005935	-0.007901	-0.270053	-0.788819	-3.520401	0.957312	-1.765279	-3.380373
14934	0.281007	0.155005	9.788762	0.000682	-0.003865	0.002842	-0.277446	-0.783433	-3.528054	0.954496	-1.767954	-3.386189
14938	0.276510	0.153455	9.745193	0.003784	-0.006041	-0.004856	-0.272225	-0.786269	-3.529847	0.954271	-1.770274	-3.396662
14942	0.264850	0.152236	9.754639	-0.001578	-0.008014	-0.000029	-0.277880	-0.793907	-3.525776	0.953263	-1.775002	-3.397457
14946	0.298053	0.139137	9.794909	-0.001243	-0.003699	0.009267	-0.277621	-0.783352	-3.523455	0.949623	-1.777550	-3.395597
14950	0.271862	0.155983	9.795906	-0.001179	-0.008538	-0.003754	-0.280493	-0.785816	-3.519118	0.947259	-1.783392	-3.396641
14954	0.271834	0.166203	9.768864	0.004230	0.003857	-0.011867	-0.270139	-0.794117	-3.522711	0.950124	-1.779164	-3.402714
14958	0.269516	0.174969	9.777035	0.006232	-0.001232	-0.002199	-0.288316	-0.796242	-3.529103	0.953985	-1.782487	-3.405148
14962	0.256300	0.176720	9.732239	0.002364	0.004048	0.000725	-0.277971	-0.785859	-3.516563	0.953642	-1.780620	-3.402338
14966	0.267137	0.159929	9.794970	0.008956	-0.003975	0.007585	-0.278318	-0.793704	-3.514281	0.959167	-1.783248	-3.390725
14970	0.267009	0.144257	9.827667	0.003322	-0.006756	0.013634	-0.277708	-0.785980	-3.523461	0.958618	-1.787380	-3.386000
14974	0.274843	0.148689	9.776141	0.013728	0.000450	-0.002793	-0.269967	-0.786190	-3.520395	0.964508	-1.785281	-3.389322
14978	0.272979	0.160988	9.788689	0.005250	0.000090	-0.005146	-0.272048	-0.789019	-3.536750	0.965204	-1.783621	-3.404027
14982	0.271611	0.147996	9.772967	0.002292	-0.000975	-0.005534	-0.278056	-0.791157	-3.518873	0.966000	-1.784334	-3.404680
14986	0.276892	0.176595	9.765126	0.010188	0.006916	-0.012754	-0.277970	-0.788528	-3.518868	0.970644	-1.780589	-3.410478
14990	0.258779	0.170024	9.752530	0.013189	-0.001910	-0.007769	-0.283275	-0.790990	-3.519384	0.977422	-1.783230	-3.412448
14994	0.272085	0.134011	9.768086	-0.018908	0.000666	-0.009136	-0.277881	-0.791238	-3.523472	0.965830	-1.782918	-3.418301
14998	0.274334	0.142760	9.793245	-0.001498	-0.004709	0.004632	-0.272315	-0.780890	-3.522939	0.961272	-1.784629	-3.420891
15002	0.277909	0.149954	9.806029	0.006808	-0.003022	-0.007263	-0.272835	-0.796662	-3.522972	0.965894	-1.784984	-3.424109
15006	0.269364	0.143785	9.810943	0.001636	-0.012942	-0.001217	-0.272836	-0.793993	-3.520667	0.966862	-1.791087	-3.423431
15010	0.263605	0.149965	9.763024	0.002564	-0.005292	-0.010565	-0.282663	-0.785935	-3.530869	0.965630	-1.795247	-3.436792
15014	0.274440	0.150801	9.792823	-0.001191	0.003551	-0.005241	-0.272574	-0.791445	-3.525260	0.964074	-1.791800	-3.442362
15018	0.259971	0.140875	9.795235	0.000423	-0.004847	-0.003231	-0.275361	-0.785942	-3.516308	0.962555	-1.794129	-3.441938
15022	0.264609	0.161314	9.781985	0.008944	0.002420	-0.004079	-0.272662	-0.791404	-3.522961	0.966878	-1.791423	-3.445383
15026	0.276067	0.119513	9.837797	0.011789	0.000195	0.004219	-0.277444	-0.786102	-3.530358	0.970669	-1.791284	-3.450141
15030	0.263294	0.164379	9.780429	0.019119	0.005774	-0.017000	-0.272659	-0.796743	-3.527570	0.981898	-1.786473	-3.463082
15034	0.266924	0.174359	9.794612	0.011797	-0.001893	0.000765	-0.280928	-0.793621	-3.514536	0.988549	-1.788590	-3.456771
15038	0.257846	0.155272	9.805255	0.027123	-0.006593	-0.002729	-0.273186	-0.796500	-3.513775	1.004602	-1.791301	-3.452713
15042	0.275953	0.172176	9.813353	0.020678	-0.002611	-0.009377	-0.270402	-0.793995	-3.515813	1.016065	-1.790986	-3.455175
15046	0.253536	0.181629	9.747726	0.014856	0.002842	0.004162	-0.275537	-0.785862	-3.511710	1.021925	-1.789250	-3.448737
15050	0.280072	0.156399	9.820473	0.019973	-0.008515	0.005547	-0.273187	-0.793831	-3.511471	1.032682	-1.793222	-3.440019
15054	0.259006	0.179600	9.770804	0.013087	0.001557	-0.011152	-0.281100	-0.801547	-3.516851	1.041341	-1.793076	-3.440832
