// Start Time: Unknown
// Update Rate: Various
// Filter Profile: general (39.12)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 1.5.1
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
48257	6149018	0.007456	-0.048694	9.770412	0.002752	0.007693	-0.000035	0.020721	0.658086	-0.612114	0.000991	-0.067607	-1.707430
48258	6149118	-0.009707	-0.041338	9.793092	-0.006631	0.013108	-0.016915	0.015910	0.651331	-0.614638	-0.003570	-0.060001	-1.716705
48259	6149218	0.008790	-0.043493	9.786703	0.000844	-0.008583	-0.011107	0.020721	0.658086	-0.612114	-0.003852	-0.064822	-1.722400
48260	6149318	0.006394	-0.047173	9.778416	0.010921	0.003402	-0.008374	0.016206	0.655741	-0.616607	0.001637	-0.062778	-1.726784
48261	6149418	-0.008959	-0.048579	9.807107	0.001292	0.003790	-0.002988	0.023012	0.658022	-0.611937	0.001604	-0.060508	-1.727758
48262	6149518	0.015653	-0.060135	9.782585	-0.004901	-0.003215	-0.006125	0.013915	0.655805	-0.616784	-0.001976	-0.062254	-1.730980
48263	6149618	0.006651	-0.046250	9.787462	0.001413	-0.003981	0.002851	0.020406	0.651311	-0.612235	-0.001945	-0.064438	-1.728607
48264	6149718	-0.004890	-0.032380	9.777328	-0.006779	0.003975	-0.002045	0.020807	0.657979	-0.614163	-0.006603	-0.062063	-1.729228
48265	6149818	-0.000680	-0.048073	9.780293	0.006069	0.003603	0.010069	0.022927	0.658129	-0.609887	-0.003909	-0.059900	-1.722862
48266	6149918	-0.005440	-0.039832	9.786345	-0.001373	0.010113	-0.010271	0.025113	0.655807	-0.609751	-0.005466	-0.054007	-1.728147
48267	6150018	0.012951	-0.050836	9.779557	-0.005952	-0.014642	0.003296	0.020359	0.656147	-0.606005	-0.009655	-0.062298	-1.725834
48268	6150118	-0.002799	-0.051662	9.782734	0.004137	-0.008662	-0.001551	0.022631	0.653719	-0.607918	-0.008062	-0.067162	-1.726124
48269	6150218	0.009455	-0.039350	9.767214	-0.000913	-0.001273	-0.007040	0.018049	0.653846	-0.608272	-0.009359	-0.067793	-1.729727
48270	6150318	0.010966	-0.044036	9.772481	-0.000523	-0.002787	-0.008645	0.020721	0.658086	-0.612114	-0.010431	-0.069293	-1.734071
48271	6150418	-0.001128	-0.053794	9.775940	0.007746	0.009656	-0.006030	0.018154	0.656104	-0.608231	-0.006768	-0.063662	-1.737054
48272	6150518	-0.002492	-0.047865	9.779708	-0.006697	0.002898	0.006519	0.029609	0.655786	-0.607347	-0.011389	-0.061900	-1.732459
48273	6150618	-0.002042	-0.045167	9.780520	0.000510	0.004205	0.003849	0.025303	0.657958	-0.611760	-0.011879	-0.059390	-1.729801
48274	6150718	-0.004662	-0.052050	9.779776	-0.005949	0.007221	-0.001489	0.025027	0.655913	-0.607701	-0.016068	-0.055151	-1.730116
48275	6150818	0.013462	-0.058635	9.774137	0.005186	-0.001634	-0.006665	0.024797	0.649031	-0.609872	-0.013876	-0.055988	-1.733391
48276	6150918	0.012464	-0.049559	9.784902	-0.007778	0.014211	0.005538	0.022907	0.655764	-0.611977	-0.019118	-0.047745	-1.729705
48277	6151018	-0.002950	-0.047593	9.791761	0.000157	0.000096	-0.003833	0.027174	0.648861	-0.611745	-0.019810	-0.047591	-1.731828
48278	6151118	0.008850	-0.040916	9.780361	0.009705	-0.004235	-0.001195	0.016158	0.660578	-0.610377	-0.015032	-0.049918	-1.732657
48279	6151218	0.016842	-0.053730	9.776548	-0.001445	-0.009186	0.000891	0.022888	0.653399	-0.614067	-0.016645	-0.055082	-1.732029
48280	6151318	0.001853	-0.044733	9.770218	-0.001466	-0.010021	0.001397	0.016311	0.658000	-0.616567	-0.018271	-0.060724	-1.731325
48281	6151418	-0.006626	-0.044886	9.772705	0.001344	0.008358	0.007997	0.016244	0.660471	-0.612427	-0.018290	-0.055834	-1.726745
48282	6151518	-0.006019	-0.050083	9.763203	0.001510	0.002421	-0.007247	0.020721	0.658086	-0.612114	-0.018207	-0.054347	-1.730249
48283	6151618	-0.006588	-0.040330	9.771361	-0.003795	-0.021266	-0.006714	0.023079	0.655550	-0.616077	-0.021163	-0.066431	-1.733482
48284	6151718	0.005365	-0.056850	9.771352	0.003242	-0.001644	-0.001486	0.018192	0.660834	-0.604051	-0.020091	-0.067271	-1.733884
48285	6151818	-0.003216	-0.050699	9.772957	0.003860	-0.014394	0.008834	0.020511	0.653569	-0.612194	-0.018674	-0.075413	-1.728214
48286	6151918	0.007300	-0.054263	9.781447	0.002104	-0.006312	0.008148	0.018726	0.662560	-0.614259	-0.018263	-0.078925	-1.723037
