// Start Time: Unknown
// Update Rate: Various
// Filter Profile: general (39.12)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 1.5.1
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
33025	3330605	0.048104	-0.000799	9.766631	0.003611	-0.006336	-0.013465	-0.551529	0.064922	-0.591003	0.006064	-0.487890	-79.688569
33026	3330705	0.045960	-0.008874	9.778172	0.012724	-0.002255	-0.002254	-0.549113	0.069482	-0.588695	0.012702	-0.488479	-79.689585
33027	3330805	0.056304	-0.011702	9.773059	-0.004620	-0.002427	-0.004949	-0.551194	0.074062	-0.588791	0.009416	-0.489166	-79.692246
33028	3330905	0.045570	0.001062	9.775937	-0.000919	-0.000827	0.005298	-0.557763	0.069096	-0.601701	0.008200	-0.488937	-79.690489
33029	3331005	0.052285	-0.004684	9.767321	0.009284	0.003252	0.006133	-0.544149	0.073658	-0.592360	0.012827	-0.486371	-79.686343
33030	3331105	0.056614	-0.006520	9.775747	-0.000888	0.009914	-0.005923	-0.553582	0.062301	-0.599418	0.011683	-0.479987	-79.691806
33031	3331205	0.049333	-0.013239	9.784012	-0.002076	0.000736	0.004244	-0.553562	0.064666	-0.597328	0.009810	-0.478863	-79.689478
33032	3331305	0.055570	-0.008340	9.776731	0.001959	0.004617	-0.009705	-0.551260	0.076534	-0.584652	0.010316	-0.475515	-79.694950
33033	3331405	0.030438	-0.007227	9.769040	0.004963	0.004473	0.001877	-0.548922	0.071634	-0.590705	0.012488	-0.472250	-79.696555
33034	3331505	0.043354	0.005442	9.784159	-0.001406	-0.008190	-0.008567	-0.550879	0.080838	-0.588670	0.011060	-0.476239	-79.702177
33035	3331605	0.049931	-0.003394	9.780931	0.003108	0.003176	0.002550	-0.560444	0.074424	-0.587449	0.012166	-0.473717	-79.703695
33036	3331705	0.058759	-0.005257	9.769154	-0.004357	0.006937	-0.006797	-0.553676	0.071974	-0.586959	0.009038	-0.469039	-79.708138
33037	3331805	0.048347	0.007528	9.765474	0.005705	-0.003291	-0.005662	-0.555538	0.071505	-0.597384	0.011671	-0.470222	-79.711906
33038	3331905	0.034984	-0.018418	9.775767	-0.010681	-0.002899	0.001302	-0.557962	0.076512	-0.589281	0.004882	-0.471181	-79.711040
33039	3332005	0.048966	-0.004222	9.769156	0.003288	-0.006197	-0.002548	-0.548950	0.078835	-0.582385	0.006115	-0.474030	-79.712435
33040	3332105	0.047571	0.004689	9.786136	0.001748	0.005571	-0.005584	-0.551108	0.073956	-0.590841	0.006480	-0.470135	-79.716576
33041	3332205	0.048762	-0.004103	9.773088	-0.000135	0.000384	-0.012140	-0.546335	0.075980	-0.592497	0.005797	-0.469212	-79.723659
33042	3332305	0.049777	-0.005959	9.765088	-0.007056	0.006356	0.003124	-0.548961	0.066903	-0.594885	0.001077	-0.464869	-79.723123
33043	3332405	0.031204	-0.000892	9.773029	0.001108	-0.009504	-0.007154	-0.546841	0.067053	-0.590609	0.001083	-0.469613	-79.727587
33044	3332505	0.042388	-0.012632	9.768465	-0.000928	-0.000714	0.010574	-0.551404	0.069546	-0.588872	-0.000161	-0.469320	-79.721794
