// Start Time: Unknown
// Update Rate: Various
// Filter Profile: general (39.12)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 1.5.1
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
11042	9482147	-0.060195	0.014562	9.763036	0.000273	0.008237	-0.005597	0.557705	0.092203	-0.607307	0.264701	0.174105	77.354894
11043	9482247	-0.039068	0.000351	9.779013	0.007542	0.004604	0.002838	0.559844	0.094718	-0.600940	0.267565	0.177153	77.355998
11044	9482347	-0.058961	0.009707	9.761292	0.000635	-0.005534	-0.004491	0.559739	0.092459	-0.600981	0.266460	0.174417	77.355279
11045	9482447	-0.051792	0.000355	9.782627	0.010047	0.002648	0.001390	0.559739	0.092459	-0.600981	0.270758	0.176352	77.356988
11046	9482547	-0.038241	0.011863	9.765549	0.003587	-0.005676	0.003687	0.555243	0.092480	-0.603384	0.271358	0.173510	77.359010
11047	9482647	-0.052610	0.006623	9.779837	-0.003510	0.000940	-0.004288	0.564197	0.087709	-0.602758	0.267883	0.174490	77.361819
11048	9482747	-0.061079	0.014899	9.769397	0.010219	-0.016001	0.000295	0.559634	0.090201	-0.601021	0.272279	0.165743	77.361517
11049	9482847	-0.036828	0.012778	9.778156	0.003847	0.006014	0.003355	0.564703	0.096636	-0.604646	0.273030	0.169598	77.360650
11050	9482947	-0.043584	0.010534	9.764549	0.003725	0.002907	-0.002945	0.555138	0.090222	-0.603425	0.273703	0.171698	77.361574
11051	9483047	-0.051492	0.004274	9.769838	0.002193	-0.009564	0.008302	0.564197	0.087709	-0.602758	0.273519	0.166625	77.370054
11052	9483147	-0.054452	-0.010178	9.776443	0.003999	-0.003581	-0.009194	0.550766	0.094866	-0.603697	0.274335	0.165017	77.360842
11053	9483247	-0.044863	0.012896	9.779685	0.001179	-0.009302	-0.010141	0.555224	0.090115	-0.605474	0.273539	0.160144	77.357679
11054	9483347	-0.037270	-0.005016	9.786320	0.000319	-0.003336	0.001304	0.559911	0.092246	-0.605080	0.272267	0.158654	77.358809
11055	9483447	-0.036288	0.002954	9.791726	-0.008353	-0.013507	-0.000718	0.557658	0.097040	-0.601077	0.266022	0.151337	77.355754
11056	9483547	-0.047113	0.004826	9.776327	0.000054	0.000055	-0.006417	0.559844	0.094718	-0.600940	0.264589	0.151813	77.353526
11057	9483647	-0.047378	0.009911	9.777361	0.002591	0.006946	-0.003092	0.561925	0.090137	-0.600844	0.264615	0.156235	77.356560
11058	9483747	-0.048081	0.001283	9.771482	-0.000273	0.006692	0.002410	0.559596	0.085471	-0.605201	0.263010	0.160497	77.362833
11059	9483847	-0.038318	-0.006161	9.767022	-0.006022	-0.002500	0.011160	0.555204	0.087750	-0.607564	0.258122	0.159461	77.368906
11060	9483947	-0.040440	0.002225	9.769476	-0.008940	-0.002302	-0.003727	0.548237	0.097615	-0.595635	0.251537	0.158570	77.361963
11061	9484047	-0.047516	0.003487	9.772185	-0.004106	-0.016902	-0.001153	0.559930	0.094611	-0.602990	0.247729	0.149319	77.363057
11062	9484147	-0.039759	0.004100	9.768855	-0.001125	-0.004597	-0.003985	0.562307	0.094441	-0.604863	0.245626	0.147125	77.362078
11063	9484247	-0.046567	0.009333	9.761501	0.009960	-0.002935	0.001227	0.552761	0.090392	-0.601552	0.249883	0.145872	77.365020
11064	9484347	-0.048767	0.008330	9.778107	0.002805	0.000252	0.001295	0.559634	0.090201	-0.601021	0.250041	0.146446	77.367804
11065	9484447	-0.063091	0.030649	9.771165	-0.002197	0.003344	0.000933	0.555052	0.090328	-0.601375	0.247335	0.148791	77.368631
11066	9484547	-0.058215	0.004967	9.788403	-0.001204	-0.010346	0.002666	0.560016	0.094505	-0.605040	0.245200	0.143288	77.368881
11067	9484647	-0.049405	0.012241	9.792166	0.011602	-0.003386	0.012110	0.555052	0.090328	-0.601375	0.250418	0.141754	77.377677
11068	9484747	-0.050514	0.018736	9.776017	0.009133	-0.009192	0.002674	0.562011	0.090031	-0.602894	0.254210	0.136919	77.380896
11069	9484847	-0.034305	-0.005794	9.773400	0.002163	-0.009293	-0.008024	0.557573	0.097147	-0.599027	0.253991	0.132045	77.373055
11070	9484947	-0.052000	0.011408	9.775119	-0.005804	0.010153	0.003686	0.557448	0.092523	-0.601158	0.249228	0.138293	77.377351
11071	9485047	-0.028752	0.003069	9.774452	0.006262	0.005083	-0.006666	0.557534	0.092416	-0.603207	0.251362	0.141659	77.374576
