// Start Time: Unknown
// Update Rate: Various
// Filter Profile: general (39.12)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 1.5.1
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
30892	11715013	0.002211	0.059277	9.769626	0.015785	0.007315	-0.018807	0.076394	-0.626466	-0.642577	0.558168	0.158293	162.965476
30893	11715113	-0.003931	0.064559	9.775259	-0.002628	0.003669	-0.011513	0.064872	-0.623676	-0.639322	0.555539	0.160548	162.972622
30894	11715213	0.005265	0.051518	9.782174	0.004237	0.007284	0.005971	0.069264	-0.625955	-0.636959	0.556881	0.164774	162.977373
30895	11715313	-0.001290	0.056960	9.770660	0.001067	-0.017801	-0.001859	0.062924	-0.624039	-0.647697	0.556388	0.154672	162.984399
30896	11715413	0.012624	0.052014	9.780294	-0.003980	-0.007400	0.007327	0.067736	-0.617285	-0.645173	0.553027	0.150475	162.985958
30897	11715513	0.005944	0.060186	9.779472	0.006048	0.001376	-0.002924	0.071898	-0.626446	-0.644981	0.555392	0.151362	162.984904
30898	11715613	0.003154	0.068221	9.772282	-0.004689	0.000255	0.001589	0.062667	-0.623719	-0.641548	0.551603	0.151586	162.998976
30899	11715713	0.012071	0.056504	9.788980	-0.000415	-0.015477	0.010151	0.064748	-0.628300	-0.641452	0.550281	0.142745	163.008696
30900	11715813	0.006367	0.058529	9.794030	0.002066	-0.000715	-0.000479	0.071964	-0.628917	-0.649120	0.550372	0.142419	163.004711
30901	11715913	0.005437	0.051542	9.774782	0.000975	0.009975	0.004589	0.076203	-0.628618	-0.640568	0.549846	0.148189	163.003339
30902	11716013	-0.003071	0.053823	9.789433	-0.000728	-0.017971	0.004059	0.067296	-0.628683	-0.647424	0.548322	0.137956	163.025655
30903	11716113	0.008123	0.054949	9.781878	-0.000561	-0.014789	-0.000911	0.060185	-0.625807	-0.639716	0.546884	0.129574	163.047661
30904	11716213	-0.002343	0.065878	9.782984	0.010593	0.000342	-0.004000	0.062620	-0.618882	-0.635318	0.551856	0.129871	163.041480
30905	11716313	0.002406	0.054437	9.774673	-0.000288	-0.002770	-0.005496	0.055708	-0.623421	-0.640029	0.550576	0.128397	163.051592
30906	11716413	-0.002109	0.051597	9.774629	-0.008054	0.006481	-0.003180	0.062686	-0.621354	-0.639458	0.544862	0.132207	163.048064
30907	11716513	0.000414	0.064350	9.773542	0.003224	-0.000495	0.009383	0.058619	-0.621867	-0.652110	0.545620	0.131952	163.058922
30908	11716613	-0.001659	0.063768	9.784064	0.000763	0.000920	-0.004302	0.060757	-0.619352	-0.645743	0.544954	0.132582	163.058401
30909	11716713	-0.000455	0.069253	9.780307	0.000446	-0.009050	-0.001734	0.055689	-0.625787	-0.642119	0.544106	0.127487	163.063438
30910	11716813	-0.004361	0.061532	9.765152	-0.008772	0.003017	0.002659	0.060185	-0.625807	-0.639716	0.537985	0.129281	163.066857
30911	11716913	0.004072	0.073190	9.783554	0.006093	-0.006777	-0.003852	0.066696	-0.627937	-0.633077	0.540374	0.125497	163.065981
30912	11717013	-0.005371	0.051344	9.785892	0.005560	0.009057	-0.002548	0.069664	-0.619287	-0.638887	0.542459	0.130779	163.066116
30913	11717113	0.008951	0.061859	9.773693	0.012115	0.001290	-0.005838	0.064872	-0.623676	-0.639322	0.548292	0.131629	163.068068
30914	11717213	-0.011226	0.069057	9.784969	-0.000775	0.001541	0.005409	0.069159	-0.628214	-0.636999	0.546757	0.132561	163.073435
30915	11717313	0.003840	0.046717	9.774610	-0.001880	-0.005399	0.003197	0.059842	-0.625381	-0.631517	0.544582	0.129529	163.082086
30916	11717413	-0.000879	0.067057	9.775681	0.004095	-0.000200	0.000428	0.062285	-0.628023	-0.637530	0.545830	0.129490	163.085189
30917	11717513	0.007202	0.056519	9.784858	-0.000701	-0.005267	0.001396	0.062858	-0.621567	-0.643557	0.544331	0.126542	163.088481
30918	11717613	0.008202	0.058019	9.776478	0.003376	0.011905	0.004902	0.074045	-0.633498	-0.649024	0.545174	0.133413	163.092033
30919	11717713	0.000084	0.055481	9.774942	0.005822	-0.008480	-0.015689	0.055813	-0.621163	-0.639988	0.547382	0.128719	163.094460
30920	11717813	-0.012044	0.059856	9.781000	0.001240	0.006671	-0.006988	0.066906	-0.623420	-0.632996	0.546986	0.132655	163.090169
30921	11717913	0.010189	0.055673	9.785303	0.001279	-0.000203	-0.010213	0.071917	-0.624080	-0.642891	0.546607	0.132670	163.085589
30922	11718013	0.000357	0.063376	9.785954	0.001302	-0.004289	0.001844	0.062238	-0.623186	-0.631300	0.546251	0.130279	163.094333
30923	11718113	0.011139	0.052584	9.764692	0.001727	-0.006565	0.001287	0.064709	-0.633030	-0.645632	0.546141	0.126587	163.098722
30924	11718213	0.008348	0.040561	9.769845	0.003037	-0.004019	-0.007001	0.069073	-0.628107	-0.634950	0.546774	0.124396	163.095333
30925	11718313	-0.008406	0.065748	9.781861	-0.000231	0.002350	-0.005932	0.071812	-0.626339	-0.642931	0.545534	0.125849	163.093473
30926	11718413	0.002043	0.057747	9.786098	-0.000015	0.000746	-0.000703	0.060099	-0.625701	-0.637666	0.544417	0.126357	163.103978
30927	11718513	-0.000795	0.079388	9.790349	-0.001202	0.007530	0.005467	0.069264	-0.625955	-0.636959	0.542638	0.130714	163.106041
30928	11718613	0.001370	0.057134	9.774063	-0.000894	0.003605	0.005276	0.057875	-0.628109	-0.641983	0.541026	0.132827	163.118908
30929	11718713	0.000577	0.053440	9.784720	0.003445	0.005141	-0.008915	0.060719	-0.624082	-0.649924	0.541888	0.135894	163.115499
30930	11718813	0.004657	0.059357	9.768282	0.005879	0.004929	0.009549	0.073826	-0.628448	-0.638695	0.544173	0.138738	163.118088
30931	11718913	0.009029	0.054297	9.771133	-0.011741	0.002302	0.001169	0.069435	-0.626169	-0.641058	0.536344	0.140124	163.124225
30932	11719013	0.011851	0.047795	9.774502	0.000986	-0.002261	0.005878	0.060337	-0.628386	-0.645905	0.535808	0.138871	163.138953
30933	11719113	0.008086	0.040768	9.783675	-0.002463	0.000848	-0.002119	0.074418	-0.619627	-0.642633	0.533302	0.139436	163.128711
30934	11719213	-0.003394	0.060053	9.785660	-0.001522	0.011410	-0.007531	0.071889	-0.616879	-0.634571	0.531316	0.146085	163.128714
30935	11719313	0.015602	0.048810	9.784706	0.015398	0.001479	0.003303	0.060290	-0.623549	-0.639675	0.539028	0.146989	163.147167
30936	11719413	0.005754	0.065583	9.787420	-0.002496	-0.003753	0.003061	0.069521	-0.626275	-0.643108	0.536504	0.144891	163.147317
30937	11719513	-0.003885	0.068208	9.785832	-0.005210	0.006076	0.002782	0.062371	-0.628129	-0.639579	0.532414	0.148429	163.158554
30938	11719613	0.001973	0.061924	9.777125	0.008733	-0.002057	-0.005490	0.062733	-0.626191	-0.645688	0.536307	0.147349	163.158572
30939	11719713	0.002403	0.053392	9.790783	-0.000432	0.007130	-0.011484	0.065024	-0.626255	-0.645511	0.534940	0.151563	163.153544
30940	11719813	0.003597	0.047332	9.783672	-0.002993	-0.016713	0.002044	0.060567	-0.621504	-0.643734	0.532122	0.142046	163.160549
30941	11719913	0.009957	0.057341	9.780161	0.012596	0.003773	-0.003213	0.071831	-0.623974	-0.640841	0.538237	0.144290	163.154622
30942	11720013	0.001311	0.066369	9.792823	-0.001743	0.010839	-0.010766	0.066972	-0.625892	-0.637136	0.536116	0.150627	163.155639
30943	11720113	0.001020	0.058468	9.784802	0.005099	-0.004566	-0.003765	0.065005	-0.628620	-0.647601	0.537925	0.148099	163.159643
30944	11720213	0.013016	0.045261	9.786553	-0.003199	0.000688	-0.005392	0.060166	-0.628172	-0.641806	0.534976	0.148590	163.164898
30945	11720313	-0.004021	0.070650	9.778195	0.015462	-0.004066	-0.012396	0.069692	-0.626489	-0.647207	0.542720	0.146390	163.153230
30946	11720413	-0.005789	0.064807	9.782796	0.003932	-0.001570	-0.002446	0.062772	-0.621461	-0.641508	0.543860	0.145572	163.160442
